"Nombre completo";"Entidad";"Complementos - Identificador";"Dirección";"Complementos - Teléfono";"Complementos - Está operativa";"Complementos - Número aprox. de usuarios";"Fecha de creación";
"CPAPM El Higuerón";"Ayuntamiento de Córdoba > Informática";"S077";"Avenida principal esq. calle Pintor Antonio Bujalance, 14193 El Higuerón, Córdoba";"957329487";"Sí";"4";"";
"CPAPM El Higuerón > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CPAPM El Higuerón > Planta 0 > Centros mayores";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CPAPM Huerta de la Reina";"Ayuntamiento de Córdoba > Informática";"S078";"Calle Músico Cristóbal de Morales, 2. Edificio Apartamentos para mayores de VIMCORSA. 14011 Córdoba";"957283227";"Sí";"3";"";
"CPAPM Huerta de la Reina > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CPAPM Huerta de la Reina > Planta 0 > Centros mayores";"Ayuntamiento de Córdoba > Informática";"";"C/ Músico Cristóbal de Morales, 2";"+34957283227";"Sí";"0";"2022-11-10 08:19";
"CPAPM La Foggarilla";"Ayuntamiento de Córdoba > Informática";"S084";"Calle Ingeniero Antonio Carbonell, s/n. 14005 Córdoba";"957467973";"Sí";"3";"";
"CPAPM Levante";"Ayuntamiento de Córdoba > Informática";"";"Avenida Carlos III, 53 bis. 14014 Córdoba";"";"Sí";"0";"";
"CPAPM Los Ángeles";"Ayuntamiento de Córdoba > Informática";"S075";"Calle Herrería, 1. 14610 Barriada del Ángel, Córdoba";"957321639";"Sí";"4";"";
"CPAPM Osario Romano";"Ayuntamiento de Córdoba > Informática";"S082";"Calle Osario Romano, s/n. 14009 Córdoba";"957200111";"Sí";"6";"";
"CPAPM Osario Romano > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CPAPM Osario Romano > Planta 0 > Centros mayores";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CPAPM Osario Romano > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CPAPM Osario Romano > Planta 1 > Biblioteca";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CPAPM Santa Cruz";"Ayuntamiento de Córdoba > Informática";"S079";"Avenida de las Flores, s/n. 14820 Santa Cruz, Córdoba";"957378223";"Sí";"4";"";
"CPAPM Santa Cruz > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CPAPM Santa Cruz > Planta 0 > Centros mayores";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CPAPM Veredón de los Frailes";"Ayuntamiento de Córdoba > Informática";"S081";"Carretera del Veredón, 262. 14710 Córdoba";"";"Sí";"0";"";
"CPAPM Villarrubia";"Ayuntamiento de Córdoba > Informática";"S080";"Calle Doctor Gregorio Gracia, s/n. Antigua estación de RENFE. 14710 Villarrubia, Córdoba";"957458176";"Sí";"4";"";
"CPAPM Villarrubia > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CPAPM Villarrubia > Planta 0 > Centros mayores";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Centro-Ribera";"Ayuntamiento de Córdoba > Informática";"S022";"C/ Mucho Trigo, 36. 14002 Córdoba";"957474981";"Sí";"10";"";
"CSSC Centro-Ribera > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CSSC Centro-Ribera > Planta 0 > Atención individual";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Centro-Ribera > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Centro-Ribera > Planta 0 > Servicios sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Centro-Ribera > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CSSC Centro-Ribera > Planta 1 > Programas de empleo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Centro-Ribera > Planta 1 > Servicios sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Levante (Carlos III)";"Ayuntamiento de Córdoba > Informática";"S015";"Avenida Carlos III, 53 bis. 14014 Córdoba";"957437597";"Sí";"30";"";
"CSSC Levante (Carlos III) > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CSSC Levante (Carlos III) > Planta 0 > Biblioteca";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Levante (Carlos III) > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Levante (Carlos III) > Planta 0 > Centros mayores";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Levante (Carlos III) > Planta 0 > Oficina atención ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Levante (Carlos III) > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CSSC Levante (Carlos III) > Planta 1 > Atención individual";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Levante (Carlos III) > Planta 1 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Levante (Carlos III) > Planta 1 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Levante (Carlos III) > Planta 1 > Oficina atención ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Levante (Carlos III) > Planta 1 > Participación ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Levante (Carlos III) > Planta 1 > Programas de empleo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Levante (Carlos III) > Planta 1 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Levante (Carlos III) > Planta 1 > Servicios sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Noroeste-Moreras";"Ayuntamiento de Córdoba > Informática";"S023";"Glorieta Rafael Bernier Soldevilla, s/n. 14011 Córdoba";"957340055";"Sí";"15";"";
"CSSC Noroeste-Moreras > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CSSC Noroeste-Moreras > Planta 0 > Programas de empleo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Noroeste-Moreras > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Noroeste-Moreras > Planta 0 > Servicios centrales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Noroeste-Moreras > Planta 0 > Servicios sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Norte";"Ayuntamiento de Córdoba > Informática";"";"Avenida Cruz de Juárez, s/n. 14006 Córdoba";"";"";"";"";
"CSSC Periferia-Alcolea";"Ayuntamiento de Córdoba > Informática";"";"Plaza de la Cerería, s/n. 14071 Córdoba";"";"";"";"";
"CSSC Periferia-Villarrubia";"Ayuntamiento de Córdoba > Informática";"";"Plaza de la Aljarilla, 15. 14710 Villarrubia, Córdoba";"";"";"";"";
"CSSC Poniente Norte (La Foggara)";"Ayuntamiento de Córdoba > Informática";"S055";"Calle Ingeniero Antonio Carbonell, s/n. 14005 Córdoba";"957467474";"Sí";"12";"";
"CSSC Poniente Norte (La Foggara) > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CSSC Poniente Norte (La Foggara) > Planta 0 > Almacén temporal CPD";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Poniente Norte (La Foggara) > Planta 0 > Atención individual";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Poniente Norte (La Foggara) > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Poniente Norte (La Foggara) > Planta 0 > Centros mayores";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Poniente Norte (La Foggara) > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Poniente Norte (La Foggara) > Planta 0 > Servicios centrales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Poniente Norte (La Foggara) > Planta 0 > Servicios sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Poniente Sur";"Ayuntamiento de Córdoba > Informática";"";"Camino viejo de Almodóvar (junto Plaza de toros). 14005 Córdoba";"";"";"";"";
"CSSC Residencia de mayores Vitalia";"Ayuntamiento de Córdoba > Informática";"S108";"C Libertador SImón Bolívar, 14";"";"No";"0";"2022-11-15 13:28";
"CSSC Sur - BAJA";"Ayuntamiento de Córdoba > Informática";"S092";"Avda. Granada";"";"Sí";"0";"";
"CSSC Sur (Arrabal del Sur)";"Ayuntamiento de Córdoba > Informática";"S048";"Calle Motril 61";"957420193";"Sí";"20";"";
"CSSC Sur (Arrabal del Sur) > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CSSC Sur (Arrabal del Sur) > Planta 0 > Atención individual";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Sur (Arrabal del Sur) > Planta 0 > Servicios sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Sur (Arrabal del Sur) > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CSSC Sur (Arrabal del Sur) > Planta 1 > Almacén temporal CPD";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Sur (Arrabal del Sur) > Planta 1 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Sur (Arrabal del Sur) > Planta 1 > Servicios sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CSSC Sureste-Fuensanta";"Ayuntamiento de Córdoba > Informática";"";"Calle Arquitecto Sáenz de Santamaría, 14. 14010 Córdoba";"";"";"";"";
"Cultura - Palacio de Orive";"Ayuntamiento de Córdoba > Informática";"S006";"Plaza de Orive, 2. 14002 Córdoba";"957485001";"Sí";"40";"";
"Cultura - Palacio de Orive > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Cultura - Palacio de Orive > Planta 0 > Fiestas y tradiciones populares";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Cultura - Palacio de Orive > Planta 0 > Programación gestión cultural";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Cultura - Palacio de Orive > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Cultura - Palacio de Orive > Planta 0 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Cultura - Palacio de Orive > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Cultura - Palacio de Orive > Planta 1 > Delegación Cultura";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Cultura - Palacio de Orive > Planta 1 > Delegación Patrimonio y Casco Histórico";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Cultura - Palacio de Orive > Planta 1 > Programas de empleo (Cultura)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Cultura - Palacio de Orive > Planta 2";"Ayuntamiento de Córdoba > Informática";"";"";"";"No";"0";"2024-01-17 14:29";
"Depósito de Vehículos";"Ayuntamiento de Córdoba > Informática";"S025";"Campo San Antón, 1. 14010 Córdoba";"957435232";"Sí";"5";"2022-03-16 14:23";
"Depósito de Vehículos > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Depósito de Vehículos > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Edificio Pedro López de Alba";"Ayuntamiento de Córdoba > Informática";"";"C. Alfonso XIII, 13, 14001 Córdoba";"";"";"";"2023-01-19 11:10";
"Edificio Pedro López de Alba > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2023-01-19 11:10";
"El patio (Reactivación Económica)";"Ayuntamiento de Córdoba > Informática";"S097";"Calle San Pablo, 7";"";"Sí";"6";"2022-03-11 19:30";
"El patio (Reactivación Económica) > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"El patio (Reactivación Económica) > Planta 0 > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"EMACSA";"Ayuntamiento de Córdoba > Informática";"S035";"Calle de los Plateros, 1. 14006 Córdoba";"957222500";"Sí";"0";"2022-03-16 14:23";
"EMACSA > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"EMACSA > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"EMACSA SUR";"Ayuntamiento de Córdoba > Informática";"S044";"Carretera Castro del Río, s/n. 14009 Córdoba";"";"Sí";"0";"2022-03-16 14:23";
"EMACSA SUR > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"EMACSA SUR > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Escuela de Participación Ciudadana";"Ayuntamiento de Córdoba > Informática";"";"Avenida de Rabanales, s/n (detrás de la Biblioteca Central). 14071 Córdoba";"";"";"";"";
"Escuela infantil - BAJA";"Ayuntamiento de Córdoba > Informática";"S093";"Calle Don Rodrigo, 4";"";"No";"0";"2022-11-15 13:23";
"Estadio el Arcángel";"Ayuntamiento de Córdoba > Informática";"S010";"Calle José Ramón García Fernández, s/n. Estadio Municipal el Arcángel. 14010 Córdoba";"";"Sí";"80";"";
"Estadio el Arcángel > Planta 2";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Estadio el Arcángel > Planta 2 > Almacén temporal CPD";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 2 > Consejo reclam. Econo-ad (C.R.E.A.)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 2 > Delegación Mayores e Inclusión";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 2 > Dirección Gral. Familia y Servicios Sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 2 > Inclusión social";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 2 > Oficina en defensa de la vivienda";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 2 > Repografía (equipo)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 2 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 3";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Estadio el Arcángel > Planta 3 > Banco de recusos (s. Sociales)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 3 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 3 > Servicios sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 3 > Unidad de gestión (S. Sociales)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 3 > Unidad de mayores y dependencia";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 3 > Unidad de menores";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 4";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Estadio el Arcángel > Planta 4 > Inclusión social";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 4 > Programas de empleo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 4 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Estadio el Arcángel > Planta 5";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Estadio el Arcángel > Planta 5 > Imdeco";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"GMU";"Ayuntamiento de Córdoba > Informática";"S033";"Avenida de Medina Azahara, s/n. 14005 Córdoba";"957222750";"Sí";"0";"2022-03-16 14:23";
"GMU > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"GMU > Planta 0 > Delegación Comercio y Disciplina Urbanística";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"GMU > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán";"Ayuntamiento de Córdoba > Informática";"S001";"Avenida del Gran Capitán, 6. 14008 Córdoba";"957499900";"Sí";"150";"";
"Gran Capitán > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Gran Capitán > Planta 0 > Atención individual O.M.I.C.";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > Baja definitiva";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > Comercio y vía pública";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > Cooperacion";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > CPD Almacén";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > CPD Almacén pendiente reparar";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > CPD Aula";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > CPD Común";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > CPD Explotación";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > CPD Sala ordenador central";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > CPD Taller";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > Inclusión social";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > Oficina de atención ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > Policía local";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > Recaudación";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > Repografía (equipo)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 0 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Gran Capitán > Planta 1 > Autorizaciones";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 1 > Cooperacion";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 1 > CPD Assist";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 1 > CPD Desarrollo externo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 1 > CPD Sala reuniones";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 1 > Estadística";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 1 > Oficina en defensa de la vivienda";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 1 > Programas de empleo TVM";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 1 > Televisión municipal - T.V.M.";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 1 > Unidad de mayores";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 1 > Venta ambulante";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 2";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Gran Capitán > Planta 2 > Comercio y vía pública";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 2 > Junta arbitral de consumo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 2 > O.M.I.C. - Consumo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 2 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Gran Capitán > Planta 2 > Salud";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Huerto San Pedro sede Medicina Laboral";"Ayuntamiento de Córdoba > Informática";"S063";"Calle Huerto San Pedro el Real, 1. 14003 Córdoba";"";"Sí";"8";"";
"Huerto San Pedro sede Medicina Laboral > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Huerto San Pedro sede Medicina Laboral > Planta 0 > Gabinete médico";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Huerto San Pedro sede Medicina Laboral > Planta 2";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Huerto San Pedro sede Medicina Laboral > Planta 2 > Medicina - Unidad de salud laboral";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"IMAE Gran Teatro de Córdoba";"Ayuntamiento de Córdoba > Informática";"S030";"Avda. Gran Capitán, 3. 14008 Córdoba";"957480237";"Sí";"20";"";
"IMAE Gran Teatro de Córdoba > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"IMAE Gran Teatro de Córdoba > Planta 0 > Administración";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"IMAE Gran Teatro de Córdoba > Planta 0 > Gran teatro - I.M.A.E.";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"IMAE Gran Teatro de Córdoba > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"IMDEEC";"Ayuntamiento de Córdoba > Informática";"S037";"Avenida Nuestra Señora de la Fuensanta, s/n. 14010 Córdoba";"957762229";"Sí";"0";"";
"IMDEEC > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"IMDEEC > Planta 0 > Programas de empleo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"IMDEEC UrbanSur";"Ayuntamiento de Córdoba > Informática";"S042";"Calle Fray Pedro de Córdoba, 7. 14009 Córdoba";"";"Sí";"40";"2022-03-16 14:23";
"IMDEEC UrbanSur > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-15 13:10";
"IMDEEC UrbanSur > Planta 0 > Centro TIC";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-15 13:11";
"Infraestructuras";"Ayuntamiento de Córdoba > Informática";"S005";"Avenida del Mediterráneo (esquina con Isla Gomera). 14011 Córdoba";"957499940";"Sí";"80";"";
"Infraestructuras > Edif. Adm.";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2023-09-13 11:34";
"Infraestructuras > Edif. Adm. > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Infraestructuras > Edif. Adm. > Planta 0 > Administración";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Adm. > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Adm. > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Infraestructuras > Edif. Adm. > Planta 1 > Departamento de mantenimiento";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Infraestructuras > Edif. Adm. > Planta 1 > Infraestructura y medio ambiente";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
