"Nombre completo";"Entidad";"Visible en la interfaz simplificada";"ID";"Complementos - Icono";"Última actualización";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. INTENDENTES";"Ayuntamiento de Córdoba > Informática";"Sí";"151";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. INVENTARIO";"Ayuntamiento de Córdoba > Informática";"Sí";"152";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. JEFATURA";"Ayuntamiento de Córdoba > Informática";"Sí";"153";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. JEFETURNO";"Ayuntamiento de Córdoba > Informática";"Sí";"154";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. LINEAVERDE";"Ayuntamiento de Córdoba > Informática";"Sí";"155";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. LISTADOS";"Ayuntamiento de Córdoba > Informática";"Sí";"156";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. LISTADOSFR4";"Ayuntamiento de Córdoba > Informática";"Sí";"157";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. MOVILPOL";"Ayuntamiento de Córdoba > Informática";"Sí";"158";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. OFICIOS";"Ayuntamiento de Córdoba > Informática";"Sí";"159";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. REGISTROS";"Ayuntamiento de Córdoba > Informática";"Sí";"199";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. SIP";"Ayuntamiento de Córdoba > Informática";"Sí";"160";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. SMSEXPRESS";"Ayuntamiento de Córdoba > Informática";"Sí";"161";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. SMSSERVER";"Ayuntamiento de Córdoba > Informática";"Sí";"162";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. VESTUARIO";"Ayuntamiento de Córdoba > Informática";"Sí";"163";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. VISORACCESOS";"Ayuntamiento de Córdoba > Informática";"Sí";"164";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Portafirmas";"Ayuntamiento de Córdoba > Informática";"Sí";"214";"far fa-window-restore";"2025-04-04 11:46";
"Aplicaciones > APL. Corporativas > APL-COR. Portal de Transparencia";"Ayuntamiento de Córdoba > Informática";"Sí";"198";"far fa-window-restore";"2024-02-13 10:02";
"Aplicaciones > APL. Corporativas > APL-COR. Portal del empleado";"Ayuntamiento de Córdoba > Informática";"Sí";"110";"far fa-window-restore";"2022-10-22 13:37";
"Aplicaciones > APL. Corporativas > APL-COR. Preven";"Ayuntamiento de Córdoba > Informática";"Sí";"99";"far fa-window-restore";"2022-06-26 15:26";
"Aplicaciones > APL. Corporativas > APL-COR. Programas educativos";"Ayuntamiento de Córdoba > Informática";"Sí";"111";"far fa-window-restore";"2022-11-03 11:11";
"Aplicaciones > APL. Corporativas > APL-COR. REA (Registro Electrónico de Apoderamientos)";"Ayuntamiento de Córdoba > Informática";"Sí";"203";"far fa-window-restore";"2025-02-10 12:33";
"Aplicaciones > APL. Corporativas > APL-COR. SEHTRA";"Ayuntamiento de Córdoba > Informática";"Sí";"100";"far fa-window-restore";"2022-06-26 15:26";
"Aplicaciones > APL. Corporativas > APL-COR. SIA (Sistema de Información Administrativa)";"Ayuntamiento de Córdoba > Informática";"Sí";"205";"far fa-window-restore";"2025-02-10 12:33";
"Aplicaciones > APL. Corporativas > APL-COR. SicalWin";"Ayuntamiento de Córdoba > Informática";"Sí";"47";"far fa-window-restore";"2022-06-07 18:01";
"Aplicaciones > APL. Corporativas > APL-COR. SIGMA";"Ayuntamiento de Córdoba > Informática";"Sí";"105";"far fa-window-restore";"2022-06-26 15:27";
"Aplicaciones > APL. Corporativas > APL-COR. SILTRA";"Ayuntamiento de Córdoba > Informática";"Sí";"106";"far fa-window-restore";"2022-06-26 15:28";
"Aplicaciones > APL. Corporativas > APL-COR. Sistema RED";"Ayuntamiento de Córdoba > Informática";"Sí";"107";"far fa-window-restore";"2022-06-26 15:28";
"Aplicaciones > APL. Corporativas > APL-COR. SITAC";"Ayuntamiento de Córdoba > Informática";"Sí";"73";"far fa-window-restore";"2022-06-07 18:01";
"Aplicaciones > APL. Corporativas > APL-COR. Tablón Edictal Único";"Ayuntamiento de Córdoba > Informática";"Sí";"206";"far fa-window-restore";"2025-02-10 12:33";
"Aplicaciones > APL. Corporativas > APL-COR. Videoactas";"Ayuntamiento de Córdoba > Informática";"Sí";"103";"far fa-window-restore";"2022-06-26 15:27";
"Aplicaciones > APL. No Corporativas";"Ayuntamiento de Córdoba > Informática";"Sí";"92";"far fa-window-restore";"2022-06-07 17:57";
"Aplicaciones > APL. No Corporativas > APL-NC. VDI";"Ayuntamiento de Córdoba > Informática";"Sí";"196";"far fa-window-restore";"2024-01-12 13:05";
"Carpetas de red";"Ayuntamiento de Córdoba > Informática";"Sí";"24";"fas fa-folder";"2022-02-06 13:42";
"Carpetas de red > CPR. Acceso a carpetas";"Ayuntamiento de Córdoba > Informática";"No";"25";"fas fa-folder";"2022-11-10 09:18";
"Carpetas de red > CPR. Designación de cargo";"Ayuntamiento de Córdoba > Informática";"Sí";"26";"";"2022-01-26 17:18";
"Certificado digital";"Ayuntamiento de Córdoba > Informática";"Sí";"58";"fa-id-card-alt";"2025-01-31 08:53";
"Certificado digital > CER. Obtención / Renovación";"Ayuntamiento de Córdoba > Informática";"Sí";"59";"fa-id-card-alt";"2025-01-31 08:53";
"Comunicaciones";"Ayuntamiento de Córdoba > Informática";"Sí";"53";"";"2022-02-06 13:43";
"Comunicaciones > COM. Red cableada";"Ayuntamiento de Córdoba > Informática";"Sí";"54";"";"2022-03-13 13:35";
"Comunicaciones > COM. Red cableada > COM-RC. Instalación de línea de acceso";"Ayuntamiento de Córdoba > Informática";"Sí";"55";"";"2022-03-13 13:35";
